種別	配置名	項	名称	分類	寸法	比	prompt
人物図版	nightingale-2	3	ナイチンゲール／ガルス・デシムス	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a close cowl, no visible hair, wearing a heavy wool robe. Holding a wax seal on a cord, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	nightingale-3	3	ナイチンゲール／メルセル・フレイ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned a quarter to the left. This is the face of a person in their fifties. bare-headed, short cropped hair, wearing a studded leather jerkin. a scar across one cheek. Holding a large iron key, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	brotherhood	4	闇の一党	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A sealed door set into rock, the entrance to an underground sanctuary. Night. The sky is worked up with dense hatching; the ground stays light. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	brotherhood-1	4	闇の一党／アストリッド	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person in their forties. bare-headed, short cropped hair, wearing a studded leather jerkin. Holding a dagger, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	brotherhood-2	4	闇の一党／シセロ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned in profile to the left. This is the face of a person in their fifties. a close cowl, no visible hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
人物図版	brotherhood-3	4	闇の一党／ナジール	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their forties. bare-headed, short cropped hair, wearing a studded leather jerkin. Holding a bound ledger, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	winterhold	5	ウィンターホールド大学	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A college on an isolated crag, reached by a single long bridge; the town around it has fallen into the sea. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	winterhold-1	5	ウィンターホールド大学／サヴォス	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, facing the viewer squarely. This is the face of a person past sixty. a deep cloth hood, no visible hair, wearing a heavy wool robe. Holding a wooden staff, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	winterhold-2	5	ウィンターホールド大学／ミラベル	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned a quarter to the left. This is the face of a person in their fifties. bare-headed, short cropped hair, wearing a heavy wool robe. Holding a rolled scroll, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	winterhold-3	5	ウィンターホールド大学／ウラグ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: an orc with a heavy jaw and lower tusks, broad, heavy build, turned in profile to the left. This is the face of a person past sixty. bare-headed, hair gathered into a topknot, wearing a heavy wool robe. Holding a closed book, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	bards	6	吟遊詩人の大学	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A college hall in a walled city, a timber stage being raised before its gate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	bards-1	6	吟遊詩人の大学／ヴィアルモ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. bare-headed, long hair falling past the shoulders, wearing a heavy wool robe. Holding a rolled scroll, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	bards-2	6	吟遊詩人の大学／インゲ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person past sixty. bare-headed, long hair falling past the shoulders, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	bards-3	6	吟遊詩人の大学／ジロー・ジェマーヌ	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, head slightly bowed. This is the face of a person in their fifties. bare-headed, short cropped hair, wearing a heavy wool robe. Holding a closed book, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	blades	7	ブレイズ	I 職能結社	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A shrine cut into a gorge wall, its entrance invisible from outside the ravine. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	blades-1	7	ブレイズ／デルフィン	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned a quarter to the left. This is the face of a person in their fifties. bare-headed, long hair falling past the shoulders, wearing a studded leather jerkin. a scar across one cheek. Holding a straight sword held upright before the chest, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	blades-2	7	ブレイズ／エスバーン	I 職能結社	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, slight build, head slightly bowed. This is the face of a person past seventy. a deep cloth hood, no visible hair, wearing a heavy wool robe. Holding a stone tablet, small, at the lower edge. Aspect ratio 2:3 (portrait).
